Time;Scene;Accelerator;Integrator;OS
35.6;teapot-metal;bvh;mlt;Debian-Virtual
254.6;teapot-metal;bvh;path;Debian-Virtual
38.5;teapot-metal;kdtree;mlt;Debian-Virtual
302.6;teapot-metal;kdtree;path;Debian-Virtual
4.0;room;bvh;mlt;Debian-Virtual
1.5;room;bvh;path;Debian-Virtual
5.0;room;kdtree;mlt;Debian-Virtual
2.0;room;kdtree;path;Debian-Virtual
77.8;glass;bvh;mlt;Debian-Virtual
6503.3;glass;bvh;path;Debian-Virtual
112.6;glass;kdtree;mlt;Debian-Virtual
8983.6;glass;kdtree;path;Debian-Virtual
10.2;caustic-proj;bvh;mlt;Debian-Virtual
2.0;caustic-proj;bvh;path;Debian-Virtual
10.5;caustic-proj;kdtree;mlt;Debian-Virtual
2.3;caustic-proj;kdtree;path;Debian-Virtual
34.5;teapot-metal;bvh;mlt;Debian-Virtual
247.6;teapot-metal;bvh;path;Debian-Virtual
38.5;teapot-metal;kdtree;mlt;Debian-Virtual
296.6;teapot-metal;kdtree;path;Debian-Virtual
4.0;room;bvh;mlt;Debian-Virtual
1.5;room;bvh;path;Debian-Virtual
5.0;room;kdtree;mlt;Debian-Virtual
2.0;room;kdtree;path;Debian-Virtual
76.5;glass;bvh;mlt;Debian-Virtual
6458.3;glass;bvh;path;Debian-Virtual
111.5;glass;kdtree;mlt;Debian-Virtual
8878.5;glass;kdtree;path;Debian-Virtual
9.5;caustic-proj;bvh;mlt;Debian-Virtual
2.0;caustic-proj;bvh;path;Debian-Virtual
10.0;caustic-proj;kdtree;mlt;Debian-Virtual
2.3;caustic-proj;kdtree;path;Debian-Virtual
34.6;teapot-metal;bvh;mlt;Debian-Virtual
247.8;teapot-metal;bvh;path;Debian-Virtual
38.5;teapot-metal;kdtree;mlt;Debian-Virtual
295.6;teapot-metal;kdtree;path;Debian-Virtual
4.1;room;bvh;mlt;Debian-Virtual
1.5;room;bvh;path;Debian-Virtual
5.1;room;kdtree;mlt;Debian-Virtual
2.1;room;kdtree;path;Debian-Virtual
76.6;glass;bvh;mlt;Debian-Virtual
6453.3;glass;bvh;path;Debian-Virtual
111.6;glass;kdtree;mlt;Debian-Virtual
8868.3;glass;kdtree;path;Debian-Virtual
9.5;caustic-proj;bvh;mlt;Debian-Virtual
2.0;caustic-proj;bvh;path;Debian-Virtual
10.2;caustic-proj;kdtree;mlt;Debian-Virtual
2.3;caustic-proj;kdtree;path;Debian-Virtual
33.5;teapot-metal;bvh;mlt;Debian-Virtual
250.6;teapot-metal;bvh;path;Debian-Virtual
38.6;teapot-metal;kdtree;mlt;Debian-Virtual
298.6;teapot-metal;kdtree;path;Debian-Virtual
4.0;room;bvh;mlt;Debian-Virtual
1.6;room;bvh;path;Debian-Virtual
5.1;room;kdtree;mlt;Debian-Virtual
2.0;room;kdtree;path;Debian-Virtual
77.6;glass;bvh;mlt;Debian-Virtual
6498.3;glass;bvh;path;Debian-Virtual
112.6;glass;kdtree;mlt;Debian-Virtual
8958.6;glass;kdtree;path;Debian-Virtual
9.5;caustic-proj;bvh;mlt;Debian-Virtual
2.0;caustic-proj;bvh;path;Debian-Virtual
10.0;caustic-proj;kdtree;mlt;Debian-Virtual
2.3;caustic-proj;kdtree;path;Debian-Virtual
38.5;teapot-metal;bvh;mlt;Debian-Virtual
275.7;teapot-metal;bvh;path;Debian-Virtual
44.1;teapot-metal;kdtree;mlt;Debian-Virtual
328.7;teapot-metal;kdtree;path;Debian-Virtual
4.5;room;bvh;mlt;Debian-Virtual
1.8;room;bvh;path;Debian-Virtual
6.5;room;kdtree;mlt;Debian-Virtual
2.4;room;kdtree;path;Debian-Virtual
87.7;glass;bvh;mlt;Debian-Virtual
7018.4;glass;bvh;path;Debian-Virtual
124.6;glass;kdtree;mlt;Debian-Virtual
9758.9;glass;kdtree;path;Debian-Virtual
10.6;caustic-proj;bvh;mlt;Debian-Virtual
2.3;caustic-proj;bvh;path;Debian-Virtual
11.0;caustic-proj;kdtree;mlt;Debian-Virtual
2.5;caustic-proj;kdtree;path;Debian-Virtual
24.9;teapot-metal;bvh;mlt;Windows
182.1;teapot-metal;bvh;path;Windows
28.7;teapot-metal;kdtree;mlt;Windows
226.6;teapot-metal;kdtree;path;Windows
3.6;room;bvh;mlt;Windows
1.3;room;bvh;path;Windows
4.7;room;kdtree;mlt;Windows
1.8;room;kdtree;path;Windows
60.1;glass;bvh;mlt;Windows
5261.9;glass;bvh;path;Windows
88.3;glass;kdtree;mlt;Windows
7524.7;glass;kdtree;path;Windows
8.8;caustic-proj;bvh;mlt;Windows
1.8;caustic-proj;bvh;path;Windows
9.3;caustic-proj;kdtree;mlt;Windows
2.1;caustic-proj;kdtree;path;Windows
24.2;teapot-metal;bvh;mlt;Windows
175.7;teapot-metal;bvh;path;Windows
27.9;teapot-metal;kdtree;mlt;Windows
223.1;teapot-metal;kdtree;path;Windows
3.3;room;bvh;mlt;Windows
1.3;room;bvh;path;Windows
4.3;room;kdtree;mlt;Windows
1.6;room;kdtree;path;Windows
58.6;glass;bvh;mlt;Windows
5166.2;glass;bvh;path;Windows
86.5;glass;kdtree;mlt;Windows
7417.1;glass;kdtree;path;Windows
8.6;caustic-proj;bvh;mlt;Windows
1.9;caustic-proj;bvh;path;Windows
9.0;caustic-proj;kdtree;mlt;Windows
2.2;caustic-proj;kdtree;path;Windows
24.3;teapot-metal;bvh;mlt;Windows
176.2;teapot-metal;bvh;path;Windows
27.7;teapot-metal;kdtree;mlt;Windows
221.5;teapot-metal;kdtree;path;Windows
3.3;room;bvh;mlt;Windows
1.4;room;bvh;path;Windows
4.3;room;kdtree;mlt;Windows
1.9;room;kdtree;path;Windows
58.0;glass;bvh;mlt;Windows
5125.4;glass;bvh;path;Windows
85.7;glass;kdtree;mlt;Windows
7277.7;glass;kdtree;path;Windows
8.7;caustic-proj;bvh;mlt;Windows
1.9;caustic-proj;bvh;path;Windows
9.2;caustic-proj;kdtree;mlt;Windows
2.2;caustic-proj;kdtree;path;Windows
24.1;teapot-metal;bvh;mlt;Windows
176.9;teapot-metal;bvh;path;Windows
28.0;teapot-metal;kdtree;mlt;Windows
222.7;teapot-metal;kdtree;path;Windows
3.8;room;bvh;mlt;Windows
1.4;room;bvh;path;Windows
